Word	Frequency	Diversity	Clusters	Density	Synsets	WikiFreq
proletariat	3	0.11545763423401967	2	0.8274796228707584	1	534
deutschland	3	0.08263085349320809	2	0.7692717690160703	1	10584
damaged	4	0.22352600689936641	2	0.5479252428368389	4	596
multiple	8	0.3046844118462909	3	0.42429429265938434	2	287
thrive	5	0.17449750995363117	3	0.5486185361207063	2	45
lyric	7	0.17356369128668167	3	0.5466672098473808	7	10283
mm	8	0.1311347916049475	3	0.5593957308828984	1	414
three	238	0.3724711513750961	39	0.40081853226762404	3	30433
shriek	3	0.0837717647259294	2	0.7162058565707667	3	663
stallion	9	0.13664092026532565	4	0.5395244971001727	1	7079
existence	30	0.24776861193001934	5	0.47527169082210735	2	126520
color	3	0.11982631532596959	2	0.5263175970179089	15	817
nostril	3	0.07773442904125949	2	0.7168033402530255	1	61
trek	4	0.1638426963151776	2	0.5695007087904785	4	5647
overlay	3	0.16176196457495484	2	0.5512019310799675	6	839
carpet	7	0.20278534299912213	3	0.5583180416935376	5	713
tread	3	0.12069299069405522	2	0.8507474834369498	10	1258
palm	15	0.13444928356284508	6	0.6133352443648707	5	76912
heavy	54	0.34521891462200427	14	0.43691508435542387	30	266991
galaxy	3	0.0703110221778906	2	0.7466012466153389	3	65
fine	67	0.3437527565948928	13	0.3920673378360285	10	173
quite	140	0.2949714846303464	21	0.40118365066810346	4	116959
miniature	5	0.23293252361001898	3	0.5991065644152825	3	2250
trivial	8	0.24715801728511236	3	0.48518067178257185	3	920
determine	31	0.2628304603874824	7	0.4442402759395391	8	702
prokofiev	4	0.06104074051132294	2	0.7605108491945074	1	222
brow	3	0.14069379109269756	2	0.5231594207332323	3	2268
palestinian	11	0.19885967600117913	4	0.4414343849051496	2	62414
mount	23	0.33441180723136393	6	0.4806071096388071	13	8864
discredit	6	0.19851207269815443	3	0.5878017234246402	4	76
shelter	243	0.26628316457093365	31	0.41776755272890886	7	5819
pool	10	0.28013649129888324	4	0.4507743837009548	11	57210
equality	4	0.14598936973891416	2	0.5037735944769768	2	473
animal	47	0.2587776672490772	10	0.3741785599328453	2	24153
irritable	3	0.1482234855427029	2	0.4676687978172684	3	1395
trapezius	3	0.07421131171724478	2	0.9695941729740719	1	38
burning	4	0.18237052809912888	1	0.635347471002379	22	22597
cutting	3	0.12118257745645167	2	0.7275216603007135	54	166
